,name,binder_rmsd_af2_des,complex_rmsd_af2_des,binder_rmsd,complex_rmsd
0,sh3_r1_43_r2_0,2.036908104507714,1.2648325289621563,,
1,sh3_r1_43_r2_1,3.3617972940136673,1.8440794637617732,,
2,sh3_r1_43_r2_10,1.7876544155635754,1.2514521760694552,,
3,sh3_r1_43_r2_11,3.4613022549842882,1.6587328827372927,,
4,sh3_r1_43_r2_12,14.522972131114868,9.30027518954716,,
5,sh3_r1_43_r2_13,3.149753896577581,1.928471409245891,,
6,sh3_r1_43_r2_14,2.862951506651651,1.4601453580774015,,
7,sh3_r1_43_r2_15,3.4265113343266673,1.6608274625832231,,
8,sh3_r1_43_r2_16,2.1673802714649866,1.4270393364117646,,
9,sh3_r1_43_r2_17,3.245885998625467,1.96533582629122,,
10,sh3_r1_43_r2_18,3.5499857525053433,2.1097090054223173,,
11,sh3_r1_43_r2_19,1.9950998371626436,1.27651851997286,,
12,sh3_r1_43_r2_2,4.044151788007371,2.0994537711821954,,
13,sh3_r1_43_r2_20,2.45929962898405,1.3354822607374526,,
14,sh3_r1_43_r2_21,3.8335453381556577,2.1229308032020073,,
15,sh3_r1_43_r2_22,1.4186964440785519,1.044313217623812,,
16,sh3_r1_43_r2_23,3.619548395003402,1.851923819453955,,
17,sh3_r1_43_r2_24,2.164915207123191,1.2469889182330736,,
18,sh3_r1_43_r2_25,1.7946293898283276,1.234357443127208,,
19,sh3_r1_43_r2_26,2.2916833928303855,1.4687820825002516,,
20,sh3_r1_43_r2_27,4.320748875333001,2.6760913712703,,
21,sh3_r1_43_r2_28,4.142891426913284,2.117391349798113,,
22,sh3_r1_43_r2_29,2.3468927452909374,1.3114995083892602,,
23,sh3_r1_43_r2_3,2.3075292459905867,1.5288411861275772,,
24,sh3_r1_43_r2_30,3.303756222457457,1.755687172593536,,
25,sh3_r1_43_r2_31,2.929453797026116,1.234135970443594,,
26,sh3_r1_43_r2_32,1.9520464664548904,1.2720877573912923,,
27,sh3_r1_43_r2_33,1.797592088940661,1.2862536952996377,,
28,sh3_r1_43_r2_34,1.4067998374112096,0.9611561886579859,,
29,sh3_r1_43_r2_35,2.9288143433066334,1.7414928176710496,,
30,sh3_r1_43_r2_36,3.984970840459775,2.336307013180097,,
31,sh3_r1_43_r2_37,2.9991351652204123,1.6497239179144705,,
32,sh3_r1_43_r2_38,1.1744157779866988,0.8348616682620822,,
33,sh3_r1_43_r2_39,18.35463277795591,11.84318077930339,,
34,sh3_r1_43_r2_4,2.6501604933807013,1.4884012224215852,,
35,sh3_r1_43_r2_40,1.7651613304941776,1.0934207356154326,,
36,sh3_r1_43_r2_41,2.1230751986691443,1.234071132773672,,
37,sh3_r1_43_r2_42,2.156399148468959,1.141127826565803,,
38,sh3_r1_43_r2_43,1.0866226560043217,0.8859739180953498,,
39,sh3_r1_43_r2_44,3.5099624241710714,2.099976283981858,,
40,sh3_r1_43_r2_45,3.358600720549231,2.1992087316737536,,
41,sh3_r1_43_r2_46,2.323007630768876,1.3218892795633623,,
42,sh3_r1_43_r2_47,3.5815119583347443,2.097709461441624,,
43,sh3_r1_43_r2_48,2.7439459917175872,1.3952824187420416,,
44,sh3_r1_43_r2_49,3.4079673079097934,1.9925870281193465,,
45,sh3_r1_43_r2_5,2.6067673430817777,1.557845401286856,,
46,sh3_r1_43_r2_6,2.1179434926717535,1.1495510312948292,,
47,sh3_r1_43_r2_7,6.576420128455458,2.9105853909930026,,
48,sh3_r1_43_r2_8,2.1939730103959363,1.2089108762823524,,
49,sh3_r1_43_r2_9,2.3405819112008692,1.5258252474588359,,
