,name,af2_lddt,rmsd_af2_des,contig_rmsd_af2_des,contig_rmsd_af2
0,pd1_r1_10_r2_0,48.40008859493614,6.048675614147083,1.4999748605757484,1.5123822163462248
1,pd1_r1_10_r2_7,60.677754522922235,6.4199229718336035,2.315580462308176,2.4079363914404275
2,pd1_r1_10_r2_9,53.94723759868869,10.128434049539763,4.868761009465606,5.133357954230414
3,pd1_r1_13_r2_3,61.56604403277846,4.438069547614815,2.007600279391538,2.0955422594057995
4,pd1_r1_13_r2_4,38.72923555175874,10.766543538795565,9.268157507378131,9.406689944155657
5,pd1_r1_13_r2_5,48.68807502919351,8.679949719801069,7.872842972250842,8.065197802217867
6,pd1_r1_13_r2_2,42.32711839170104,8.81419240182701,6.601536257626159,6.663308710432747
7,pd1_r1_10_r2_8,45.29569601274936,4.537742768588192,1.6157585067405806,1.5896827317675706
8,pd1_r1_10_r2_6,44.28327823658253,9.929903291981265,6.077683231781954,6.142276792014962
9,pd1_r1_10_r2_1,33.878563971557156,15.005530451726113,12.653172578354031,12.644236692835927
10,pd1_r1_13_r2_8,49.77674910395498,8.12297028122137,5.3070311603465,5.198941805159331
11,pd1_r1_13_r2_1,40.901250315707976,9.316622038292088,6.053983066644776,6.090909829601467
12,pd1_r1_13_r2_6,48.8007409243554,4.332993907511617,3.0109465493701872,3.0042828767625207
13,pd1_r1_10_r2_2,62.80127244847562,6.541598706780335,2.5184511818214044,2.435109708003845
14,pd1_r1_10_r2_5,50.77518865542475,8.242925971400712,5.270920425621212,5.4009804263482835
15,pd1_r1_10_r2_4,57.778656197333895,8.665214440119616,3.9010052528962147,3.7418476521160873
16,pd1_r1_10_r2_3,38.14851239439977,11.293614641518342,5.134855030339308,5.101474183910636
17,pd1_r1_13_r2_7,36.004173538842515,7.3461274445287215,5.581694546940089,5.470607838355191
18,pd1_r1_13_r2_0,53.432728592082846,3.5518385593365505,1.7673495895422897,1.8416677396256813
19,pd1_r1_13_r2_9,42.961487085836,9.065527559973615,2.630547324964506,2.7331462476087904
